id,name,type
1210,Банк ВТБ (ПАО),bank
38588,ПАО «иэк холдинг,non_bank
11473,"АО ""Алтайэнергосбыт""",non_bank
38281,"ООО ПК ""СМАК""",non_bank
31382,"АО ""НЗР ""Оксид""",non_bank
448,"ОАО ""Петролеспорт""",non_bank
19051,"ОАО ""ЦНИИ ""Буревестник""",non_bank
33667,"ОАО ""нииэс""",non_bank
2541,"АО ""Карельский окатыш""",non_bank
2566,"ОАО акб ""автобанк-никойл""",non_bank
38287,"ООО ""ЛайфСтрим""",non_bank
14097,ОАО ФАПК «Сахабулт,non_bank
14372,"ПАО ""Центрэнергохолдинг""",non_bank
20408,"АО ""РРКЦ""",non_bank
11777,"АО ""УМ-1""",non_bank
2794,"АО ""ММТС-9""",non_bank
28660,"ОАО ""БИТК""",non_bank
8466,"АО ""кампо""",non_bank
2504,"ЗАО КСП ""Хуторок""",non_bank
517,"АБ ""Девон-Кредит"" (ПАО)",non_bank
28896,"АО ""РЖД Логистика""",non_bank
36293,"АО СЗ ""Деметра""",non_bank
472,"АО ""СибВАМИ""",non_bank
3856,ПАО финстар банк,bank
11984,"АО ""Сибтехэнерго""",non_bank
939,"ОАО ""угаик""",non_bank
15196,"АО ""Агрохлебопродукт""",non_bank
27236,"АО ""НПО ""Высокоточные комплексы""",non_bank
37322,"АО ""ПФ ""СКБ Контур""",non_bank
2561,"АО ""МКШВ""",non_bank
39676,"ООО ""Интегральные Системы""",non_bank
13577,"ОАО ""Морской торговый порт Темрюк""",non_bank
4287,"АО ""Микрон""",non_bank
3396,"ПАО ""СОЗ""",non_bank
5424,"ОАО ""ИЗТС""",non_bank
669,"АО ""Банк Русский Стандарт""",bank
37458,"ООО ""Сибстекло""",non_bank
21280,АО «Ейскгоргаз,non_bank
6186,"АО ""ЮТэйр-Вертолетные услуги""",non_bank
24219,"АО ""Связьтранснефть""",non_bank
19828,"АО ""ГТЗ""",non_bank
2696,"АО ""Таганрогбанк""",bank
1480,"ПАО ""Аэрофлот""",non_bank
34345,"АО ""ОПК""",non_bank
5745,"ОАО ""Саратовдизельаппарат""",non_bank
33370,"ОАО ""Ветсанутильзавод ""Гремяченский""",non_bank
7454,"АО ""Уфанет""",non_bank
25768,"ОАО ""Теплосеть Санкт-Петербурга""",non_bank
5301,"АО ""тольяттихлеб""",non_bank
25128,"АО ""СОЮЗ""",non_bank
6348,"АО ""РН-Няганьнефтегаз""",non_bank
28993,"АО ""КЗС""",non_bank
16156,"ОАО ""Дагипотека""",non_bank
31240,"ОАО ""Красноярская теплотранспортная компания""",non_bank
20138,"ОАО ПТК ""Свердловскстройтранс""",non_bank
20321,ОАО «ЦСД,non_bank
24200,"АО ""НПО ""Орион""",non_bank
37468,"ПАО ""Группа Ренессанс Страхование""",non_bank
1542,АО «Орский машиностроительный завод,non_bank
39159,"ООО ""Парк Сказка""",non_bank
28962,"АО ""ТАГАТ"" им. С.И. Лившица",non_bank
31595,"АО ""НПО ""Оптика""",non_bank
3047,АО ЕАТПБанк,bank
3129,"ОАО ""БПЗ""",non_bank
27122,АО «НИИ ТП,non_bank
9577,"АО ""Энергопром""",non_bank
19779,"АО ""Кермет""",non_bank
35491,"АО ""клевер""",non_bank
14359,"НАО ""СВЕЗА""Новатор""",non_bank
18175,АО РТИ,non_bank
2194,"АО ""Банк ""Торжок""",non_bank
11903,"ОАО ""Байкальский ЦБК""",non_bank
18665,"АО ""Гипротрубопровод""",non_bank
5987,"ОАО ""МТП Усть-Луга""",non_bank
28648,АО «ГосМКБ «Радуга» им. А.Я. Березняка»,non_bank
3818,"АО ""ОЭМК""",non_bank
3812,"АО ""Взрывпром Юга Кузбасса""",non_bank
30670,"АО ""176 СКТБ""",non_bank
23024,ОАО «Омскгазстройэксплуатация,non_bank
38085,"МФК ""Лайм-Займ""",non_bank
8453,"ПАО ""МАК""",non_bank
6611,"ОАО ""ОГК-3""",non_bank
14455,"ОАО ""Кучуксульфат""",non_bank
4399,"АО ""Бонолит - Строительные решения""",non_bank
480,"АО ""БГЭС""",non_bank
16486,"АО ""ниифи""",non_bank
23280,"АО ""Сарылах-Сурьма""",non_bank
16103,ОАО «Луговое,non_bank
17252,"АО ""НПП ""Рубин""",non_bank
3109,"ПАО ""Электроприбор""",non_bank
4822,"АО ""Трест Гидромонтаж""",non_bank
7442,"ОАО ""Подольское ППЖТ""",non_bank
33331,Solidcore Resources plc,non_bank
12748,"АО ""НСРЗ""",non_bank
11690,"АО ""Омский ЭМЗ""",non_bank
29662,"АО ""Авиакомпания ""Россия""",non_bank
26045,"АО ""НПО электромеханики""",non_bank
12190,"ОАО ""Апшеронский хлебозавод""",non_bank
617,ПАО «Банк ПСБ,bank
3935,"ПАО ""Банк ""Санкт-Петербург""",bank
235,ПАО Банк «ФК Открытие,bank
156,"ПАО ""банк уралсиб""",bank
30898,"ПАО Банк ""Кузнецкий""",bank
2176,"ПАО ""Норвик Банк""",bank
1717,"ПАО АКБ ""Связь-Банк""",bank
5059,"ПАО Банк ""ВВБ""",bank
960,"ПАО АКБ ""Металлинвестбанк""",bank
1285,"ПАО ""МТС-Банк""",bank
120,"Банк ""Возрождение"" (ПАО)",bank
1482,"ПАО ""РГС Банк""",bank
958,"ПАО ""Балтийский Банк""",bank
13574,"ПАО ""Банк БФА""",bank
793,"ПАО ""НБД-Банк""",bank
3573,"ПАО ""Банк Ставр""",bank
202,"ПАО ""московский кредитный банк""",bank
305,"ПАО ""Контур.Банк""",bank
3727,"ПАО ""ИДЕЯ Банк""",bank
1224,"ПАО КБ ""Восточный""",bank
105,"ПАО ""НИКО-БАНК""",bank
306,ПАО КБ «УБРиР,bank
1021,"""НОТА-Банк"" (ПАО)",bank
2811,"ПАО Комбанк ""Химик""",bank
1701,"ПАО КБ ""РусьРегионБанк""",bank
1398,"ПАО ""РосДорБанк""",bank
60,"ПАО ""Запсибкомбанк""",bank
